年月,報酬指數,台泥,統一,台塑,南亞,台化,中鋼,和泰車,聯電,台達電,鴻海,國巨,台積電,華碩,瑞昱,廣達,研華,南亞科,友達,中華電,聯發科,長榮,陽明, 萬海,彰銀,華南金,富邦金,國泰金,開發金,玉山金,元大金, 兆豐金,台新金,中信金,第一金,統一超,大立光,聯詠,欣興,台灣大,遠傳,台塑化,南電,豐泰
10-Nov,11130.71,12.59,21.03,51.11,38.22,50.95,18.15,59.89,8.88,89.78,51.16,26.66,43.79,94.39,41.86,30.05,39.45,100.89,20.47,51.71,233.13,37.4,33.83,10.24,9.29,7.7,18.57,23.92,5.01,4.78,9.79,10.31,5.02,7.24,8,82.35,524.09,44.9,39.9,41.49,24.01,57.65,82.47,12.55
10-Dec,11928.56,13.17,21.58,54.95,40.92,55.41,19.4,60.22,9.59,94.42,55.4,29.19,49.04,99.23,40.86,30.7,39.88,103.76,20.34,51.78,249.25,44.18,39.57,11.57,11.88,9.52,19.97,26.85,7.31,6.12,11.44,11.43,6.49,8.44,10.52,90.05,562.07,43.51,40.76,42.34,23.61,67.55,82.85,12.84
11-Jan,12158.36,12.59,19.91,55.96,45.31,59.81,19.57,59.75,10.65,89.12,58.94,31.02,52.7,93.86,40.15,30.85,43.36,117.81,19.43,51.27,236.42,44.47,41.04,10.96,11.33,9.27,20.27,28.05,7.6,6.06,12.36,12.02,6.36,9.78,10.47,83.02,617.12,44.71,43.41,41.61,24.28,64.34,83.62,12.71
11-Feb,11432.87,11.81,18.83,56.07,48.24,56.99,19.4,58.54,9.06,81.83,51.39,29.9,48.7,96.36,34.17,29.15,39.54,101.21,18.05,50.64,199.4,38.2,35.16,9.16,10.02,8.23,18.75,24.62,6.49,5.55,10.63,10.92,5.78,9.15,9.47,82.69,628.75,42.03,39.47,40.4,23.73,61.27,80.94,12.31
11-Mar,11544.08,14.26,20.11,58.33,48.8,62.92,20.35,58.4,9,77.19,48.56,29.19,48.77,91.17,31,27.84,43.99,98.01,17.25,52.65,201.79,35.65,32.22,9.29,10.82,8.62,19.5,25.22,6.74,5.65,11.1,11.79,6.26,9.86,9.88,87.37,617.12,40.09,35.88,42.04,24.56,65.91,66.97,12.08
11-Apr,11975.59,16.85,20.55,65.94,49.42,65.17,20.5,60.63,8.74,84.81,51.16,31.52,50.56,92.42,33.46,28.34,45.83,92.59,15.4,52.36,188.95,38.64,33.97,9.88,11.47,8.97,20.97,24.83,6.83,6.19,10.45,12.73,6.34,10.35,10.41,105.12,704.72,40.5,33.83,44.89,24.26,68.65,71.48,12.33
11-May,11951.92,16.75,20.58,61.99,44.86,61.79,19.86,64.07,8.71,75.54,47.39,31.83,52.98,107.47,37.75,32.66,44.57,74.71,15.81,53.8,191.04,39,34.95,9.95,11.31,8.84,20.89,24.23,6.66,6.44,10.37,12.48,6.47,10.06,9.66,109.8,731.08,45.36,38.03,47.02,24.84,69.33,88.2,11.86
11-Jun,11564.95,17.19,20.75,58.33,43.11,60.38,20.03,72.92,8.38,69.91,46.44,26.54,52.02,102.09,32.52,34.11,47.18,51.72,13.15,56.79,186.27,33.68,30.53,9.81,10.82,8.74,22.04,23.42,6.63,6.22,10.45,12.78,6.42,9.86,9.31,111.14,713.25,42.82,36.67,49.8,25.57,68.99,83.23,11.5
11-Jul,11834.17,19.1,23.6,65.18,47.73,63.3,19.4,100.61,8.26,71.01,43.16,23.8,51.88,106.18,30.88,35.62,53.73,42.65,10.8,60.52,165.18,28.8,25.77,9.14,11.53,8.89,23.47,23.22,6.64,6.09,10.81,14.13,6.29,10.54,10.2,123.53,752.02,39.99,36.81,50.76,28.04,77.01,76.51,11.23
11-Aug,10694.67,16.24,23.37,54.12,41.38,53.37,20.3,97.4,7.21,59.17,38.44,18.85,50.01,112.13,28.45,31.02,46.02,33.59,9.47,60.46,186.26,27.12,21.78,8.23,10.85,8.49,22.15,19.89,5.74,5.72,9.75,13.83,5.35,9.61,9.52,127.33,651.61,37.66,31.71,50.31,27.3,60.05,75.49,10.47
