Date,name,book_to_market,book_to_market1,book_to_market2
2014,鴻海,0.662251656,1.51,1.51
2014,國巨,0.714285714,1.4,1.4
2014,台積電,0.261780105,3.82,3.82
2014,華碩,0.571428571,1.75,1.75
2014,瑞昱,0.386100386,2.59,2.59
2014,廣達,0.406504065,2.46,2.46
2014,研華,0.137931034,7.25,7.25
2014,南亞科,0.164744646,6.07,6.07
2014,友達,1.123595506,0.89,0.89
2014,中華電,0.487804878,2.05,2.05
2014,聯發科,0.318471338,3.14,3.14
2014,長榮,0.751879699,1.33,1.33
2014,陽明,0.680272109,1.47,1.47
2014,萬海,0.537634409,1.86,1.86
2014,彰銀,0.81300813,1.23,1.23
2014,華南金,0.847457627,1.18,1.18
2014,富邦金,0.714285714,1.4,1.4
2014,國泰金,0.67114094,1.49,1.49
2014,開發金,1.075268817,0.93,0.93
2014,玉山金,0.751879699,1.33,1.33
2014,元大金,1.063829787,0.94,0.94
2014,兆豐金,0.833333333,1.2,1.2
2014,台新金,1.086956522,0.92,0.92
2014,中信金,0.714285714,1.4,1.4
2014,第一金,0.862068966,1.16,1.16
2014,統一超,0.098814229,10.12,10.12
2014,大立光,0.120336943,8.31,8.31
2014,聯詠,0.241545894,4.14,4.14
2014,欣興,1.219512195,0.82,0.82
2014,台灣大,0.15128593,6.61,6.61
2014,遠傳,0.296735905,3.37,3.37
2014,中租-KY,0.36900369,2.71,2.71
2014,合庫金,1.030927835,0.97,0.97
2014,矽力*-KY,0.158227848,6.32,6.32
2014,台塑化,0.373134328,2.68,2.68
2014,南電,1.408450704,0.71,0.71
2014,豐泰,0.173010381,5.78,5.78
2015,台泥,1.086956522,0.92,0.92
2015,統一,0.310559006,3.22,3.22
2015,台塑,0.555555556,1.8,1.8
2015,南亞,0.649350649,1.54,1.54
2015,台化,0.613496933,1.63,1.63
2015,亞德客-KY,0.377358491,2.65,2.65
2015,中鋼,1.041666667,0.96,0.96
2015,和泰車,0.18018018,5.55,5.55
2015,聯電,1.428571429,0.7,0.7
2015,台達電,0.236406619,4.23,4.23
2015,鴻海,0.769230769,1.3,1.3
2015,國巨,0.729927007,1.37,1.37
2015,台積電,0.310559006,3.22,3.22
2015,華碩,0.826446281,1.21,1.21
2015,瑞昱,0.543478261,1.84,1.84
2015,廣達,0.628930818,1.59,1.59
2015,研華,0.165837479,6.03,6.03
2015,南亞科,0.416666667,2.4,2.4
2015,友達,2,0.5,0.5
2015,中華電,0.46728972,2.14,2.14
2015,聯發科,0.602409639,1.66,1.66
2015,長榮,1.351351351,0.74,0.74
2015,陽明,1.204819277,0.83,0.83
2015,萬海,0.884955752,1.13,1.13
2015,彰銀,0.961538462,1.04,1.04
2015,華南金,0.99009901,1.01,1.01
2015,富邦金,0.769230769,1.3,1.3
2015,國泰金,0.751879699,1.33,1.33
2015,開發金,1.315789474,0.76,0.76
2015,玉山金,0.775193798,1.29,1.29
2015,元大金,1.388888889,0.72,0.72
2015,兆豐金,0.909090909,1.1,1.1
2015,台新金,1.219512195,0.82,0.82
2015,中信金,0.78125,1.28,1.28
2015,第一金,1.052631579,0.95,0.95
2015,統一超,0.121212121,8.25,8.25
2015,大立光,0.186567164,5.36,5.36
2015,聯詠,0.344827586,2.9,2.9
2015,欣興,2,0.5,0.5
2015,台灣大,0.16286645,6.14,6.14
2015,遠傳,0.317460317,3.15,3.15
2015,中租-KY,0.568181818,1.76,1.76
2015,合庫金,1.204819277,0.83,0.83
2015,矽力*-KY,0.156985871,6.37,6.37
2015,台塑化,0.331125828,3.02,3.02
2015,南電,1.694915254,0.59,0.59
2015,豐泰,0.120918984,8.27,8.27
