,name,book_to_market,,Date
,廣達,2.25,,2018
,研華,3.48,,2018
,南亞科,1.82,,2018
,友達,0.96,,2018
,中華電,1.99,,2018
,聯發科,4.11,,2018
,長榮,1.35,,2018
,陽明,1.84,,2018
,萬海,1.71,,2018
,彰銀,1.54,,2018
,華南金,1.37,,2018
,富邦金,1.62,,2018
,國泰金,2.43,,2018
,開發金,0.8,,2018
,玉山金,1.13,,2018
,元大金,1.37,,2018
,兆豐金,1.18,,2018
,台新金,0.83,,2018
,中信金,1.23,,2018
,第一金,1.32,,2019
,統一超,7.22,,2019
,大立光,6.43,,2019
,聯詠,2.91,,2019
,欣興,2.07,,2019
,台灣大,5.89,,2019
,遠傳,2.1,,2019
,台塑化,3.72,,2019
,南電,2.04,,2019
,豐泰,2.06,,2019
,台泥,1.48,,2019
,統一,2.59,,2019
,台塑,2.46,,2019
,南亞,2.11,,2019
,台化,2.27,,2019
,亞德客-KY,7.73,,2019
,中鋼,1.73,,2019
,和泰車,2.11,,2019
,聯電,0.98,,2019
,台達電,4.44,,2019
,鴻海,2.37,,2019
,國巨,0.97,,2019
,台積電,3.43,,2019
,華碩,1.71,,2019
,瑞昱,1.98,,2019
,廣達,2.16,,2019
,研華,3.26,,2019
,南亞科,2,,2019
,友達,0.95,,2019
,中華電,1.93,,2019
,聯發科,4.14,,2019
,長榮,1.44,,2019
,陽明,1.75,,2019
,萬海,1.73,,2019
,彰銀,1.93,,2019
,華南金,1.64,,2019
,富邦金,1.54,,2019
,國泰金,2.41,,2019
,開發金,1.13,,2019
,玉山金,1.4,,2019
,元大金,1.55,,2019
,兆豐金,1.27,,2019
,台新金,1.04,,2019
,中信金,1.36,,2019
,第一金,1.68,,2019
,統一超,7.1,,2019
,大立光,6.35,,2019
,聯詠,2.67,,2019
,欣興,2.03,,2019
,台灣大,5.56,,2020
,遠傳,2,,2020
,台塑化,4.15,,2020
,南電,2.04,,2020
,豐泰,2.05,,2020
,台泥,1.42,,2020
,統一,2.39,,2020
,台塑,2.5,,2020
,南亞,2.34,,2020
,台化,2.45,,2020
,亞德客-KY,7.52,,2020
,中鋼,1.75,,2020
,和泰車,2.09,,2020
,聯電,1.09,,2020
,台達電,4.2,,2020
,鴻海,2.52,,2020
,國巨,1.04,,2020
,台積電,3.68,,2020
,華碩,1.61,,2020
,瑞昱,1.94,,2020
,廣達,2.17,,2020
,研華,3.54,,2020
,南亞科,2.27,,2020
,友達,0.91,,2020
,中華電,1.86,,2020
,聯發科,3.93,,2020
,長榮,1.45,,2020
,陽明,1.82,,2020
,萬海,1.64,,2020
,彰銀,1.84,,2020
,華南金,1.6,,2020
,富邦金,1.56,,2020
,國泰金,2.52,,2020
,開發金,1.17,,2020
,玉山金,1.38,,2020
,元大金,1.68,,2020
,兆豐金,1.33,,2020
,台新金,1.02,,2020
,中信金,1.57,,2020
,第一金,1.67,,2020
,統一超,6.54,,2020
,大立光,6.97,,2020
,聯詠,2.74,,2020
,欣興,2.16,,2020
,台灣大,5.46,,2020
,遠傳,2.05,,2020
,台塑化,3.95,,2020
,南電,2.06,,2020
,豐泰,2.03,,2020
,台泥,1.33,,2021
,統一,2.26,,2021
,台塑,2.51,,2021
,南亞,2.49,,2021
,台化,2.34,,2021
,亞德客-KY,8.15,,2021
,中鋼,1.73,,2021
,和泰車,2.05,,2021
,聯電,0.93,,2021
,台達電,3.86,,2021
,鴻海,2.19,,2021
,國巨,1,,2021
,台積電,3.4,,2021
,華碩,1.66,,2021
,瑞昱,1.65,,2021
,廣達,2.05,,2021
,研華,3.23,,2021
,南亞科,1.95,,2021
,友達,0.85,,2021
,中華電,1.83,,2021
,聯發科,3.31,,2021
,長榮,1.26,,2021
,陽明,1.56,,2021
,萬海,1.37,,2021
,彰銀,1.63,,2021
,華南金,1.42,,2021
,富邦金,1.45,,2021
,國泰金,2.21,,2021
,開發金,1,,2021
,玉山金,1.27,,2021
,元大金,1.44,,2021
,兆豐金,1.21,,2021
,台新金,0.93,,2021
,中信金,1.47,,2021
,第一金,1.51,,2021
,統一超,6.52,,2021
,大立光,7.1,,2021
,聯詠,2.58,,2021
,欣興,1.96,,2021
,台灣大,5.3,,2021
,遠傳,2.01,,2021
,台塑化,3.76,,2021
,南電,2,,2021
,豐泰,1.97,,2021
,台泥,1.61,,2021
,統一,2.41,,2021
,台塑,2.61,,2021
,南亞,2.52,,2021
,台化,2.58,,2021
,亞德客-KY,10.14,,2021
,中鋼,1.82,,
,和泰車,2.04,,
,聯電,0.92,,
,台達電,3.64,,
,鴻海,2.07,,
,國巨,0.97,,
,台積電,3.41,,
,華碩,1.54,,
,瑞昱,1.5,,
,廣達,1.96,,
,研華,3.59,,
,南亞科,1.89,,
,友達,0.81,,
,中華電,1.91,,
,聯發科,3.35,,
,長榮,1.18,,
,陽明,1.43,,
,萬海,1.39,,
,彰銀,1.76,,
,華南金,1.49,,
,富邦金,1.51,,
,國泰金,2.26,,
,開發金,1.02,,
,玉山金,1.29,,
,元大金,1.51,,
,兆豐金,1.31,,
,台新金,1.01,,
,中信金,1.58,,
